еда	ѣда
застенок	застѣнок
застенчивый	застѣнчивый
стенгазета	стѣнгазета
тело	тѣло
мягкотелость	мягкотѣлость
растелешиться	растѣлешиться
тельняшка	тѣльняшка
тень	тѣнь
оттенок	оттѣнок
тенёк	тѣнёк
тесто	тѣсто
тесный	тѣсный
стеснять	стѣснять
стесняться	стѣсняться
теснить	тѣснить
тесниться	тѣсниться
затеять	затѣять
затея	затѣя
утеха	утѣха
потеха	потѣха
тешить	тѣшить
утешение	утѣшение
хер	хѣр
похерить	похѣрить
цевка	цѣвка
цевье	цѣвье
цевница	цѣвница
цедить	цѣдить
целый	цѣлый
исцелять	исцѣлять
целовать	цѣловать
поцелуй	поцѣлуй
цель	цѣль
целиться	цѣлиться
цена	цѣна
цепь	цѣпь
цеплять	цѣплять
цеп	цѣп
