Агафья
Анфимъ
Афанасій
Афина
Варфоломей
Голіафъ
Евфимій
Марфа
Матфей
Мефодій
Нафанаилъ
Парфенонъ
Пифагоръ
Руфь
Саваофъ
Тимофей
Эсфирь
Іудифь
Фаддей
Фекла
Фемида
Фемистоклъ
Феодоръ
Фёдоръ
Федя
Феодосій
Федосій
Феодосія
Феодотъ
Федотъ
Феофанъ
Феофилъ
Ферапонтъ
Фома
Фоминична
